Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
158,a2012,G     ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,158
159,a2014,B     ,21x30,breit, ,UoG,F St  ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,159
160,a2012,B     ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,160
161,a2011,zT T G   ,21x30,breit,Gi ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,161
162,a2016,zT B Kh   ,21x30,breit, ,Gs,F St  ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,162
163,a2011,zT Aq G   ,21x30,breit, ,Gs,St F  ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,163
164,a2012,Mt Dd B Kh  ,21x30,breit,Lwi ,Gs,BiB F St ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,164
165,a2011,zT G Fa   ,21x30,breit, ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,165
166,a2011,Mt Dd G C  ,21x30,breit, ,U,BiB   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,166
167,a2011,zT Dd Aq   ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,167
168,a2016,zT Fa G   ,21x30,breit,Lst ,U,   ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,168
169,a2012,Mt Od Kh B T ,21x30,breit,sM ,UoG,F St  ,Fst,H3,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,169
170,a2011,B     ,21x30,breit, ,U,   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,170
171,a2012,Mt B T Fs  ,21x30,breit,Lwi ,UoG,F St  ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,171
172,a2011,zT Dd B   ,21x30,breit, ,U,BiB   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,172
173,a2011,G     ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,173
174,a2011,Mt B T G Kh ,21x30,breit, ,U,   ,Fst,H3,gr,ParPC,,"Früchtestillleben (nach Paul Cézanne), Dd",iBdK,,,,174
