Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
0054,2011,zT,Dd,Ks,,,21x30,klein,breit,,,UnG,F,BiB,St,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0054,images/WV_ab 0001/0054_2011_Dd_Ks_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0054_2011_Dd_Ks_A4_F_PPC_H2.jpg,zT Dd Ks  ,F BiB St , 
0055,2011,zT,G,B,,,21x30,klein,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0055,images/WV_ab 0001/0055_2011_G_B_A4_F_PPC_H3.jpg,images/WV_ab 0001/thumb/0055_2011_G_B_A4_F_PPC_H3.jpg,zT G B  ,   , 
0056,2011,Mt,Dd,B,G,Fa,21x30,klein,breit,Lst,,UoG,Ul,,,,Fst,H2,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0056,images/WV_ab 0001/0056_2011_M_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0056_2011_M_A4_F_PPC_H2.jpg,Mt Dd B G Fa,Ul   ,Lst 
0057,2011,Dd,,,,,21x30,klein,breit,,,U,Sch,,,,Fst,H1,y,ParPC,zwi,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0057,images/WV_ab 0001/0057_2011_Dd_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0057_2011_Dd_A4_F_PPC_was_H1.jpg,Dd    ,Sch   , 
0058,2011,zT,Dd,G,,,21x30,klein,breit,Gi,,U,,,,,Fst,H1,cf,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0058,images/WV_ab 0001/0058_2011_Dd_G_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0058_2011_Dd_G_A4_F_PPC_was_H1.jpg,zT Dd G  ,   ,Gi 
0059,2012,zT,B,G,,,21x30,klein,breit,,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0059,images/WV_ab 0001/0059_2012_B_G_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0059_2012_B_G_A4_F_PPC_was_H1.jpg,zT B G  ,   , 
0060,2011,Mt,Dd,B,G,,21x30,klein,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0060,images/WV_ab 0001/0060_2011_Dd_B_G_A4_F_PPC_was_H2.jpg,images/WV_ab 0001/thumb/0060_2011_Dd_B_G_A4_F_PPC_was_H2.jpg,Mt Dd B G ,Sch   , 
0061,2011,B,,,,,21x30,klein,breit,,,UoG,F,St,,,Fst,H1,gr,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0061,images/WV_ab 0001/0061_2011_B_A4_F_PPC_H1-169.jpg,images/WV_ab 0001/thumb/0061_2011_B_A4_F_PPC_H1-169.jpg,B    ,F St  , 
0062,2016,Mt,Pk,B,Opll,,21x30,klein,breit,,,U,,,,,Fst,H3,v,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0062,images/WV_ab 0062/0062_2016_M_A4_F_PPC_H3.jpg,images/WV_ab 0062/thumb/0062_2016_M_A4_F_PPC_H3.jpg,Mt Pk B Opll ,   , 
0063,2016,zT,T,Kh,,,21x30,klein,breit,,,UoG,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0063,images/WV_ab 0062/0063_2016_T_Kh_A4_F_PPC_H3.jpg,images/WV_ab 0062/thumb/0063_2016_T_Kh_A4_F_PPC_H3.jpg,zT T Kh  ,   , 
