Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0084,a2011,G,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0084
0085,a2012,G,,,,,21x30,breit,,,UoG,F,St,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0085
0086,a2012,G,,,,,21x30,breit,,,U,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0086
0087,a2011,zT,Dd,B,,,21x30,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0087
0088,a2012,zT,Aq,B,,,21x30,breit,,,U,,,,,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0088
0089,a2012,Fa,,,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0089
0090,a2015,B,,,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0090
0091,a2011,OPa,,,,,21x30,breit,,,U,,,,,Fst,H1,b,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0091
0092,a2012,zT,T,B,,,21x30,breit,,,U,Lst,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0092
0093,a2011,zT,Dd,T,,,21x30,breit,Gi,,Gs,St,F,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0093
0094,a2011,G,,,,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0094
0095,a2011,Mt,Dd,G,Fs,,21x30,breit,,,U,Lst,,,,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0095
0096,a2011,G,,,,,21x30,breit,,,U,,,,,Fst,H2,m,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0096
0097,a2012,Mt,B,Opl,Fs,,21x30,breit,,,U,Lwi,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0097
0098,a2015,zT,B,Dd,,,21x30,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0098
0099,a2011,zT,Aq,Dd,,,21x30,breit,,,UnG,F,St,,,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0099
0100,a2015,Ko,,,,,21x30,breit,,,U,,,,,Fst,H1,y,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0100
0101,a2016,zT,T,G,,,21x30,breit,,,UoG,F,St,,,Fst,H2,v,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0101
0102,a2011,Aq,,,,,21x30,breit,,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0102
0103,a2012,T,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0103
0104,a2011,C,,,,,21x30,breit,,,UoG,F,St,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0104
0105,a2012,Opl,,,,,21x30,breit,,,UoG,F,St,,,Fst,H2,v,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0105
0106,a2012,Opl,,,,,21x30,breit,Lwi,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0106
0107,a2011,zT,G,C,,,21x30,breit,,,U,,,,,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0107
0108,a2012,Mt,T,B,Fs,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0108
0109,a2012,G,,,,,21x30,breit,Gi,,U,,,,,Fst,H3,v,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0109
0110,a2011,Mt,Dd,G,B,Ks,21x30,breit,,,U,Sch,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0110
0111,a2012,G,,,,,21x30,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0111
